nom_lieu,note_moyenne
Bourgeois Café,3.3
Olivier Leroy S.A. Café,4.9
Vaillant Café,4.4
Perez SARL Café,3.4
Roger S.A. Café,4.3
Rousset et Fils Café,3.0
Pottier Café,4.2
Chevallier Café,4.7
Roussel Café,3.9
Sauvage Café,3.2
Boutin Café,3.2
Clément Café,4.6
Lelièvre S.A. Café,4.4
Le Roux S.A. Café,4.7
Hernandez Café,4.9
Nguyen Café,4.4
Vincent Café,4.8
Gérard Vincent S.A. Café,4.9
Thibault Café,4.0
Germain Café,4.3
Breton Café,3.8
Morin Café,4.5
Rodriguez Pottier SARL Café,4.6
Barbe Launay SARL Café,3.7
Barthelemy et Fils Café,3.4
Carlier Lambert SA Café,4.4
Blot Café,3.8
Hernandez Café,4.1
Aubert SA Café,3.8
Brun S.A. Café,4.9
Roux Café,4.1
Petit Café,3.3
Grondin Café,3.4
Reynaud Café,3.6
Marques S.A.R.L. Café,4.1
Albert Café,4.0
Lecoq Café,5.0
Moulin S.A.R.L. Café,4.2
Bonnin Antoine S.A.R.L. Café,3.5
Delahaye Café,3.1
Denis Café,3.2
Bousquet Café,3.1
Rousseau Café,3.1
Blanc Café,3.4
Joubert S.A.S. Café,4.4
Teixeira Grégoire S.A.S. Café,3.8
Noël Café,3.1
Barthelemy Café,5.0
Dupont Café,4.6
Marty Café,4.2
Picard Café,5.0
Delmas Rousset S.A.S. Café,3.6
Blondel Café,4.4
Lefèvre Café,3.0
Gilbert Café,4.0
Pages Café,3.2
Lemoine Café,4.8
Bourgeois Riou S.A. Café,3.7
Laine Ferrand S.A.R.L. Café,4.8
Blin Café,4.6
Lucas SA Café,3.8
Rolland Café,3.6
Chauvin Dumas S.A. Café,3.5
Reynaud Rey S.A.S. Café,3.7
Roche Café,4.0
Colas Café,4.7
Morin Café,3.3
Gallet SA Café,4.6
Bodin SARL Café,4.6
Leclercq Café,3.3
Lévy et Fils Café,3.6
Martineau Café,4.3
Gaudin Coste et Fils Café,4.0
Schmitt Café,4.9
Lenoir Petitjean S.A. Café,3.1
Dufour Café,3.6
Leclercq Ledoux S.A.R.L. Café,3.9
Paul S.A. Café,4.0
Peron Café,3.2
Marin Martin SA Café,4.2
Besnard Café,4.0
Vasseur Café,3.7
Langlois SA Café,3.1
Caron Café,3.4
Brunet Café,3.8
Diallo S.A. Café,4.3
Carre Café,5.0
Lacombe SARL Café,4.7
Colin Café,4.6
Camus Café,4.9
Allain S.A. Café,3.1
Perrin Germain SA Café,3.0
Lemonnier Café,3.8
Courtois Café,4.4
Baron Café,3.4
Barthelemy S.A.S. Café,4.6
Boulanger Café,4.2
Bouchet Denis S.A.R.L. Café,3.9
Delaunay Café,4.9
Masson Aubert SARL Café,3.9
Bernier Café,3.5
Marin Café,3.9
Rodriguez S.A. Café,4.7
Thierry Café,3.4
Brun S.A.S. Café,4.9
Lopes Lucas SARL Café,3.4
Lefort Café,3.8
Hamon S.A. Café,3.5
Imbert Café,4.5
Masson SA Café,3.4
Petit SA Café,4.1
Lefèvre Devaux et Fils Café,5.0
Martin Hubert SA Café,3.8
Hamon Café,4.1
Ferrand Café,3.0
Dupuy S.A.R.L. Café,4.3
Mercier Café,4.2
Rodrigues Café,3.5
Hebert Café,4.9
Renault SA Café,4.5
Coste Café,3.2
Delahaye Café,3.1
Meyer SA Café,3.6
Colas Alexandre SA Café,3.3
Morvan S.A. Café,3.7
Dubois Café,4.9
Fernandez SA Café,4.5
Breton Martins SA Café,4.7
Masson S.A.R.L. Café,3.5
Legrand Café,3.9
Morin Lévêque et Fils Café,3.7
Valette Bouvier SA Café,4.5
Guilbert François S.A.R.L. Café,4.3
Gomez Café,4.8
Teixeira Café,3.4
Chrétien Mary S.A.R.L. Café,3.5
Neveu Café,3.3
Bègue Café,3.5
Vincent Café,3.8
Perrin Café,3.7
Michaud Café,3.8
Leclerc Café,4.1
Lagarde Café,5.0
Picard et Fils Café,3.4
Guillon Café,3.4
Masson Café,3.3
Verdier Traore et Fils Café,3.9
Hervé Café,3.5
Turpin Bazin S.A. Café,3.3
Bailly Coulon SARL Café,4.2
Potier Café,3.2
Delorme Café,4.9
Mallet Nguyen SA Café,3.6
Bonneau Hernandez S.A. Café,3.2
Marchand Café,3.9
Blot Café,3.8
Hubert Parent et Fils Café,3.6
Dupont Café,3.6
Lopes Ledoux et Fils Café,3.4
Grondin Pereira et Fils Café,4.4
Pierre Fleury S.A.R.L. Café,4.0
Jean Café,3.8
Traore Renard S.A.R.L. Café,3.9
Mercier Café,4.9
Guibert Café,3.3
Daniel Salmon SA Café,4.5
Dupuy Ramos SA Café,3.7
Da Silva S.A.R.L. Café,4.5
Ribeiro Café,3.9
Descamps et Fils Café,3.0
Benard S.A.S. Café,4.4
Étienne et Fils Café,4.4
Bodin Café,3.9
Rodriguez Café,3.1
Grenier Café,3.1
Jacquet Café,4.4
Leclerc S.A.S. Café,4.4
Masse Café,4.2
Guillou Daniel SARL Café,3.2
Aubert Café,4.4
Couturier et Fils Café,3.9
Vasseur Café,4.6
Lefort Café,3.2
Dupré Lamy SA Café,4.0
Charpentier Renard SARL Café,4.1
Payet Café,4.7
Toussaint Hardy S.A.R.L. Café,3.2
Lemaire Café,3.6
Cousin Café,4.0
Dubois Café,3.6
Marchand S.A.S. Café,3.5
Laporte Café,3.8
Munoz Guyon S.A. Café,4.3
Joly Café,4.2
Lemoine SARL Café,4.5
Foucher Café,4.2
De Oliveira S.A.R.L. Café,3.6
Huet Martins S.A.R.L. Café,3.7
Munoz Café,4.6
De Oliveira Café,4.5
Goncalves Chauvin et Fils Café,4.9
Lemonnier Girard SARL Café,4.5
David Café,4.2
Delaunay S.A. Café,4.6
Bègue Café,4.8
Lemaître SA Café,3.1
Renard Albert SARL Café,3.2
Moulin Pinto et Fils Café,4.5
Caron Raynaud SARL Café,3.6
Martel Café,4.1
Jourdan Café,4.0
Fouquet S.A.R.L. Café,3.4
Colin François S.A.R.L. Café,4.7
Monnier Café,3.1
Menard Café,3.5
Navarro Café,3.9
Masson Café,4.6
Pascal Café,3.7
Texier Café,3.4
Carre Café,3.6
Blanchet Fernandez S.A.S. Café,3.3
Robert Café,3.9
Hubert Café,4.4
Pires Bruneau SARL Café,5.0
Le Gall Arnaud SA Café,3.2
Descamps Guillaume S.A. Café,3.2
Legros Café,4.7
Rousset Peltier SARL Café,3.4
Rémy SA Café,4.1
Barbier Roussel SA Café,3.3
Boucher Café,3.1
Breton Descamps S.A.S. Café,4.0
Laroche Café,3.1
Delorme Gallet SA Café,3.3
Barre Café,3.6
Devaux S.A. Café,4.0
Deschamps et Fils Café,3.9
Lopez S.A.R.L. Café,4.6
Brunet Café,4.4
Faivre et Fils Café,3.7
Chartier Café,4.5
Benard Café,4.0
Valette Café,4.4
Riou S.A.R.L. Café,3.8
Charles Café,4.8
Chauvin Café,3.7
Moulin Jean S.A.R.L. Café,4.3
Lefebvre Raymond S.A.R.L. Café,3.7
Pereira Guillou et Fils Café,3.4
Perrot S.A.R.L. Café,3.6
Petitjean Café,3.3
Colas Grégoire S.A.R.L. Café,3.6
Arnaud Martinez et Fils Café,3.1
Duhamel S.A.S. Café,3.2
Roche Bousquet S.A.S. Café,3.0
Besnard Munoz S.A. Café,4.9
Lévêque et Fils Café,4.7
Duval Café,4.0
Guilbert Café,3.2
Blanc Le Gall S.A.S. Café,4.7
Dupont Café,4.1
Jacquet Café,4.3
Pichon Godard SA Café,3.1
Jean S.A. Café,4.6
Lebreton Café,3.1
De Sousa Regnier SARL Café,4.8
De Oliveira Café,3.9
Chartier Café,3.9
Rossi S.A.S. Café,4.4
Noël Dupré S.A. Café,4.2
Gillet Café,4.5
Laroche S.A. Café,3.4
Camus SARL Café,4.6
Payet Café,4.4
Charles Meunier S.A.S. Café,4.5
François Bonnet SA Café,3.7
Dumas Coste S.A. Café,4.5
Paul Costa S.A. Café,4.0
Lagarde Café,3.3
Menard Camus S.A.S. Café,3.9
Pinto Café,4.8
Denis SA Café,3.3
Breton Café,4.2
Fernandes Henry S.A.S. Café,3.7
Moreau Café,3.5
Dias Café,3.4
Techer et Fils Café,4.5
Bertin Café,4.0
Thierry Colas et Fils Café,3.2
Allain Bailly SARL Café,3.4
Duhamel Fleury S.A. Café,4.6
Fouquet Café,4.4
Renault SARL Café,4.1
Fernandez Café,3.4
Costa S.A. Café,3.1
Regnier Café,4.5
Bonnin Café,4.3
Rocher Café,3.9
Cohen Delmas S.A.S. Café,4.3
Cordier Café,4.2
Aubert Café,3.6
Mendès Café,3.0
Lemaire Ramos et Fils Café,4.3
Diaz Café,4.8
Leclerc Joseph et Fils Café,4.4
Besson Café,3.7
Bernard Café,4.3
Étienne SA Café,4.9
Vasseur Maurice S.A.S. Café,3.6
Simon Lenoir S.A.S. Café,3.2
Dupuis et Fils Café,4.9
Da Silva Weber SARL Café,3.3
Hardy Café,4.4
Collet SARL Café,3.6
Vasseur Café,4.7
Colas Café,3.7
Humbert Café,3.2
Reynaud Café,3.0
Marques Leroux S.A.S. Café,4.8
Chauvet Café,3.1
Lagarde Jacquet SA Café,5.0
Da Silva Chevalier SA Café,4.4
François Café,4.0
Leduc et Fils Café,3.9
Philippe Café,3.6
Allain S.A. Café,3.5
Michel SARL Café,3.5
Langlois S.A.R.L. Café,4.4
Pruvost SA Café,3.4
Allard Café,3.4
Olivier Café,4.6
Barre Café,4.3
Courtois Grégoire et Fils Café,4.4
Wagner Café,3.6
Lebon Collet S.A.R.L. Café,4.7
Marques Café,3.7
Ramos SA Café,3.4
Maurice Café,4.6
Boulay Café,3.4
Hoareau Café,3.3
Morel Café,3.2
Blanchard Henry SA Café,4.0
Michel Café,3.9
Dumont Café,3.6
Olivier SA Café,4.0
Lamy Café,3.3
Caron Rémy S.A.S. Café,4.4
Blanchard et Fils Café,3.9
Devaux Café,4.4
Lombard Café,3.2
Hamel Café,4.5
Martin Robert et Fils Café,4.3
Barthelemy SA Café,3.4
Payet Café,3.3
Aubert S.A. Café,3.8
Normand Deschamps SA Café,4.2
Henry Techer S.A. Café,4.6
Rey Café,4.9
Jourdan Café,4.1
Toussaint Café,3.6
Gillet Café,3.4
Costa Café,3.6
Martinez et Fils Café,4.5
Ollivier Café,4.8
Boulay Martel SA Café,3.5
Weiss Café,4.6
Dumont SARL Café,4.6
Aubert Andre S.A. Café,4.5
Germain S.A. Café,3.1
Da Costa Café,4.2
Rivière Café,4.7
Vasseur Café,3.3
Arnaud S.A.R.L. Café,4.5
Merle S.A. Café,3.1
Antoine Café,3.7
Peltier Café,3.2
Perret Gillet SARL Café,3.8
Diallo Café,4.5
Roussel Robin SARL Café,3.7
Bernier S.A. Café,4.3
Pasquier S.A. Café,3.7
Lebon Café,4.8
Guichard Café,3.0
Lamy Café,4.2
Masson SA Café,3.4
Blondel Café,3.9
Petitjean et Fils Café,4.5
Pons Café,3.9
Alves Café,4.8
Martins SA Café,4.9
Adam Café,4.9
Carlier Café,3.1
Weber Café,4.4
Hamon Café,3.4
Parent Café,3.4
Blanchard Café,3.2
Benoit SA Café,4.8
Bertrand Adam SARL Café,3.3
Letellier Café,3.7
Maréchal S.A.R.L. Café,4.3
Lemonnier Café,4.6
Renard Café,3.6
Pinto S.A.S. Café,3.5
Da Costa Ferrand S.A. Café,4.4
Bazin Café,3.3
Blanc et Fils Café,3.1
Giraud Blondel S.A.S. Café,3.7
Seguin Café,4.3
Gros Café,4.0
Coulon Café,3.7
Charpentier Café,3.3
Daniel Café,3.5
Duval Lenoir SARL Café,3.5
Lambert Café,4.6
Bernard Verdier S.A. Café,3.8
Poulain Mahe SA Café,4.1
Gomes S.A. Café,4.8
Faure Café,3.3
Besnard Vincent S.A.S. Café,3.5
Bonnin Café,3.1
Fischer Café,3.3
Perrot Bègue et Fils Café,4.2
Colas Hervé SARL Café,5.0
Gauthier Café,4.3
Fernandez Picard S.A.S. Café,4.5
Mathieu Leroy SARL Café,4.3
Pierre Café,3.6
Aubert Café,4.5
Chartier Café,4.9
Joubert et Fils Café,3.8
Ramos Langlois et Fils Café,3.1
Besson et Fils Café,4.7
Blot Café,4.8
Marchand Café,3.1
Brun Café,4.4
Alexandre Café,4.3
Laurent SARL Café,3.1
Delahaye Café,3.1
Mathieu Lamy SA Café,3.0
Lecoq S.A. Café,3.8
Lacombe Café,3.2
Blot Café,3.3
Monnier Jean S.A. Café,3.8
Jourdan SA Café,4.0
Peltier Café,3.8
Colas et Fils Café,4.8
Maury Lebrun S.A.R.L. Café,3.9
Mathieu Coste SA Café,4.6
Hardy Café,4.3
Bruneau Laroche S.A.S. Café,4.7
Dubois Dupont SARL Café,5.0
Guillon Café,4.6
Chevalier Café,4.6
Muller Bertin et Fils Café,4.5
Grenier Café,4.8
Louis Café,4.7
Fontaine Menard S.A. Café,3.0
Jourdan et Fils Café,4.8
Philippe Fleury S.A.R.L. Café,4.8
Besnard Café,4.1
Diallo Martel S.A.S. Café,3.6
Lacroix Café,4.5
Lambert Rodriguez S.A.S. Café,3.5
Loiseau S.A.S. Café,4.3
Girard Café,4.9
Pascal De Sousa S.A. Café,4.3
Leroux Joseph et Fils Café,4.2
Royer Gonzalez S.A.R.L. Café,4.9
Laroche Café,3.6
Fischer Barbier SA Café,5.0
Bouvet Café,4.7
Bodin SARL Café,4.2
Hoarau S.A.R.L. Café,4.8
Meyer Dupré S.A.S. Café,3.9
Salmon S.A.R.L. Café,3.6
Raynaud Bodin SARL Café,4.4
Dijoux Café,3.6
Pereira Café,4.0
Collet Café,4.6
Besson Café,3.8
Brunel Nguyen SARL Café,4.7
Bernard et Fils Café,3.3
Da Silva Le Roux S.A. Café,3.6
Weiss Dijoux S.A.S. Café,3.4
Guillou Café,3.3
Peltier Café,4.3
Lopes Café,3.9
Delaunay Dufour S.A.S. Café,4.7
Pottier Neveu SARL Café,3.6
Legendre Café,3.6
Bousquet Café,5.0
Faivre Café,4.3
Paul Traore SA Café,3.7
Pinto SA Café,4.6
Lemaître SARL Café,3.5
Maillet Delaunay SA Café,4.4
Le Gall Café,4.8
Bonnet Café,4.8
Fernandez Gilles SARL Café,4.2
Mallet Café,3.4
Colas S.A. Café,3.3
Foucher Rey S.A. Café,4.4
Wagner Petit S.A.S. Café,4.5
Simon Café,3.9
Da Silva S.A. Café,4.9
Perrin Café,3.5
Dubois SARL Café,3.9
Martinez Café,4.6
Payet Café,3.8
Traore Café,3.7
Gautier Gautier S.A.S. Café,3.8
Picard S.A.R.L. Café,4.1
Marin SARL Café,5.0
Girard S.A.R.L. Café,4.6
Fournier Café,4.9
Lesage Café,3.4
François Brun S.A. Café,3.9
Chevallier SA Café,4.9
Ribeiro Café,4.4
Pottier Café,4.3
Thierry Baudry SARL Café,3.8
Muller SARL Café,4.7
Lagarde S.A.S. Café,4.8
Lejeune Café,3.7
Le Roux S.A. Café,4.1
Poulain S.A.R.L. Café,4.4
Nicolas Café,3.0
Carre Café,3.1
Pierre Café,3.6
Hubert Café,4.7
Laporte Café,3.0
Courtois Café,3.1
Lambert Caron SA Café,3.4
Rocher Café,3.5
Dos Santos S.A.S. Café,3.4
Perrin Café,4.7
Meyer Café,5.0
Charrier S.A.R.L. Café,4.7
Faivre Café,3.7
Delattre Café,4.2
Gilbert Café,3.7
Diallo Café,3.4
Garnier Café,4.9
Lopez Munoz S.A. Café,4.1
Gautier SA Café,4.7
Le Goff et Fils Café,4.2
Hebert Café,3.5
Marchal Café,4.9
Lemonnier Café,5.0
Payet Café,3.9
Rémy Monnier SA Café,4.9
Besson Jacquot et Fils Café,4.1
Lesage Café,4.5
Boyer Café,4.1
Le Goff Café,4.3
Briand Café,4.7
Lévêque Café,3.6
Baudry Café,3.3
Gaillard SARL Café,3.1
Huet Café,4.4
David S.A.S. Café,3.4
Maillet Café,3.1
Gallet Café,3.4
Cousin S.A. Café,4.9
Baron Café,4.6
Gilles Café,4.6
Delmas Café,3.3
Lefebvre Café,4.9
Chartier Café,3.8
Simon Café,4.2
Lopez Café,4.7
Morvan S.A.R.L. Café,4.2
Ledoux Café,4.8
Barbier Café,4.1
Tessier SARL Café,3.4
Delmas Café,4.1
Briand S.A.S. Café,4.2
Philippe Rodriguez S.A. Café,3.0
Duhamel Café,3.2
Martineau Café,3.7
Barre Hoareau S.A.S. Café,4.3
Guichard Valette S.A.R.L. Café,3.3
Lebrun Café,4.3
Lagarde S.A.S. Café,4.6
Chevalier Café,4.9
Olivier Café,4.6
Lacombe Café,4.3
Lenoir Café,4.6
Guilbert Café,3.3
De Sousa Café,5.0
Charpentier S.A.R.L. Café,3.8
Arnaud Café,4.7
Grondin Café,4.9
Chevallier Blondel S.A.R.L. Café,4.6
Barthelemy Lévêque S.A.R.L. Café,3.8
Boucher Café,3.8
Laporte Café,3.5
Gillet Café,4.0
Andre Café,3.6
Briand S.A.R.L. Café,4.6
Gilbert Rémy S.A.R.L. Café,4.2
Lagarde Café,3.9
Fournier S.A. Café,3.9
Duval Barbe S.A. Café,4.1
Peltier SA Café,3.6
Dumas Café,3.0
Barbe Café,4.3
Duhamel Café,3.6
Marques Café,4.0
Meunier S.A. Café,3.7
Durand Café,4.9
Lecomte SARL Café,4.4
Berthelot Royer SA Café,4.5
Étienne Perrier S.A.S. Café,3.3
Ribeiro Café,3.4
Wagner Chauvet SARL Café,3.5
Noël Café,3.5
Renaud Bernard S.A.S. Café,4.6
De Oliveira Café,4.5
Jacob S.A.R.L. Café,3.6
Delannoy Café,4.2
Bouchet Café,3.7
Lemaire SA Café,3.0
Coste Café,4.6
Peltier Café,3.0
Pelletier S.A. Café,4.6
Duval Garnier SARL Café,3.5
Merle Café,4.2
Guillou Café,4.6
Delahaye Café,4.5
Maury Fouquet S.A. Café,3.2
Briand Café,3.1
Leduc Café,4.2
Gérard Pelletier SA Café,3.5
Rodriguez Café,3.2
Michel Antoine S.A.R.L. Café,3.5
Da Silva Café,3.6
Menard Café,4.4
Coste Dumont S.A. Café,3.6
Hoarau Café,4.9
Schmitt Café,3.8
Lebon Blin et Fils Café,4.2
Clerc Albert et Fils Café,4.5
Breton Dupuy S.A. Café,3.4
Hoarau Café,3.3
Collet Moreno S.A.R.L. Café,4.7
Lemaire Payet SA Café,4.2
Allain Lecoq SARL Café,3.1
Bouvet Delorme et Fils Café,3.9
Joseph Nicolas S.A.R.L. Café,3.0
Sauvage Café,3.7
Marty Leleu S.A.S. Café,3.7
Meyer Café,4.2
Moreno Café,4.1
Prévost Café,4.1
Nguyen Ollivier S.A.S. Café,3.9
Roux Café,4.8
Carre Café,4.0
Guillou Café,4.1
Maury et Fils Café,4.6
Ollivier SA Café,4.9
Merle Café,3.6
Maillet SARL Café,4.1
Rivière SARL Café,3.2
Legrand SA Café,4.7
De Sousa Café,4.8
Chauvet Café,4.3
Jacques Café,3.7
Arnaud Café,4.5
Le Gall Masson et Fils Café,4.5
Hardy Chevallier S.A. Café,3.7
Pichon S.A. Café,4.4
Turpin Café,3.7
Martel Café,3.6
Colas Café,3.9
Vidal Café,4.8
Bonneau Café,4.5
Wagner S.A.R.L. Café,4.7
Collin Café,3.5
Dupont Café,3.5
Gauthier Bigot et Fils Café,4.0
Gimenez Café,4.8
Fernandes S.A.S. Café,5.0
Gautier Café,3.4
Philippe Café,4.9
Blanchard Café,3.0
Jacquot Café,3.1
Mathieu Café,4.2
Marchal Café,3.7
Cordier Café,4.2
Joseph Café,4.8
Lagarde et Fils Café,4.1
Lecoq Café,4.2
Lebon S.A.R.L. Café,3.6
Lejeune Huet S.A.R.L. Café,3.1
Prévost Moreno S.A.S. Café,3.5
Gillet Café,4.8
Leleu S.A.R.L. Café,3.4
Moreau Denis SA Café,3.4
Weiss S.A.S. Café,3.2
Toussaint Café,3.6
Gérard Café,3.6
Collin Gilles et Fils Café,3.3
Imbert Café,3.8
Delattre Costa S.A. Café,3.3
Martinez Dupré S.A.R.L. Café,4.5
Berger Café,4.2
Martineau Café,3.4
Dumas Café,3.9
Joly S.A.R.L. Café,4.5
Hubert Hamel S.A.R.L. Café,3.1
Legros S.A.R.L. Café,4.8
Giraud S.A.R.L. Café,3.1
Adam Payet S.A.R.L. Café,3.3
Turpin Café,4.6
Maury Café,3.4
Leclercq Café,3.3
Perrier Maillot SA Café,4.2
Schmitt SA Café,4.3
Valentin Gomes S.A.S. Café,4.4
Mallet Café,3.0
Étienne Huet S.A. Café,4.3
Pires S.A.S. Café,3.2
Valette SA Café,4.9
Noël Café,3.8
Valette S.A.S. Café,4.0
Gros Café,4.8
Bernier Café,4.6
Blanchet Barbier SARL Café,4.0
Berger S.A.R.L. Café,4.0
Brunet S.A.R.L. Café,3.1
Lebrun Diallo SARL Café,4.5
Teixeira Café,4.6
Sauvage Café,3.1
Schneider Payet et Fils Café,3.5
Gonzalez Peron S.A. Café,4.6
Meyer Café,4.8
Barbier et Fils Café,3.1
Lesage Café,4.5
Schneider Marchand SARL Café,3.1
Blanchet Vallet S.A. Café,4.2
Gomez Boucher S.A. Café,4.7
Perez Café,4.6
Lesage Café,3.2
Fontaine Café,3.8
Bailly Café,4.2
Cohen SARL Café,4.3
Hamon Café,3.2
Raymond Café,3.5
Pottier Café,4.7
